bloock-smooth,date of sale,change,worth,essence,part sold,settelment,year built,Area,Room number
005037-0029-112-00,14/03/2023,"753,333","753,333",דירה בבית קומות,0.333,Rishon LeZion,1990,96,4
003932-0228-002-00,21/03/2023,"1,700,000","1,700,000",דירה בבית קומות,1,Rishon LeZion,1980,114,4
005036-0094-015-00,03/04/2023,"1,082,500","1,082,500",דירה בבית קומות,0.5,Rishon LeZion,1990,89,4
003929-0941-002-00,20/04/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Rishon LeZion,2010,100,4
003929-0496-001-00,08/03/2023,"1,800,000","1,800,000",דירה בבית קומות,1,Rishon LeZion,1970,102,4
003925-0739-041-00,24/02/2023,"1,735,000","1,735,000",דירה בבית קומות,0.5,Rishon LeZion,2016,104,4
003932-0343-012-00,24/02/2023,"1,660,000","1,660,000",דירה בבית קומות,1,Rishon LeZion,2022,80,4
005031-0005-048-00,28/03/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Rishon LeZion,2022,91,4
005116-0008-006-00,04/04/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Rishon LeZion,1998,85,4
005036-0094-081-00,08/03/2023,"1,973,000","1,973,000",דירה בבית קומות,1,Rishon LeZion,1987,84,4
003933-0045-020-00,09/03/2023,"693,333","693,333",דירה בבית קומות,0.333,Rishon LeZion,1980,99,4
003926-0706-017-00,26/03/2023,"2,130,000","2,130,000",דירה בבית קומות,1,Rishon LeZion,1970,97,4
003939-0355-009-00,19/04/2023,"1,950,000","1,950,000",דירה בבית קומות,1,Rishon LeZion,1982,95,4
003925-0300-005-00,02/05/2023,"1,970,000","1,970,000",דירה בבית קומות,1,Rishon LeZion,1960,92,4
003939-0440-033-00,03/05/2023,"2,360,000","2,360,000",דירה בבית קומות,1,Rishon LeZion,2005,104,4
003939-0132-008-00,09/05/2023,"2,020,000","2,020,000",דירה בבית קומות,1,Rishon LeZion,1983,80,4
003939-0288-007-00,30/03/2023,"878,258","878,258",דירה בבית קומות,1,Rishon LeZion,1980,110,4
006287-0310-002-00,09/04/2023,"2,700,000","2,700,000",דירה בבית קומות,1,Rishon LeZion,2015,104,4
003926-1273-018-00,20/04/2023,"2,220,000","2,220,000",דירה בבית קומות,1,Rishon LeZion,1970,114,4
005116-0011-006-00,20/04/2023,"2,530,000","2,530,000",דירה בבית קומות,1,Rishon LeZion,1997,85,4
003923-0219-018-00,20/04/2023,"2,520,000","2,520,000",דירה בבית קומות,1,Rishon LeZion,1970,98,4
005036-0094-013-00,24/04/2023,"2,200,000","2,200,000",דירה בבית קומות,1,Rishon LeZion,1987,95,4
003939-0445-002-00,27/04/2023,"2,580,000","2,580,000",דירה בבית קומות,1,Rishon LeZion,2002,96,4
003926-0655-011-00,27/04/2023,"730,000","730,000",דירה בבית קומות,0.333,Rishon LeZion,1970,82,4
005183-0009-018-00,01/05/2023,"2,530,000","2,530,000",דירה בבית קומות,1,Rishon LeZion,1999,100,4
003925-0480-023-00,10/05/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Rishon LeZion,1985,115,4
003945-0903-001-00,14/05/2023,"893,333","893,333",דירה בבית קומות,0.333,Rishon LeZion,2011,92,4
003926-0675-011-00,29/11/2022,"2,730,000","2,730,000",דירה בבית קומות,1,Rishon LeZion,1990,130,5
003937-0086-001-00,04/12/2022,"2,560,000","2,560,000",דירה בבית קומות,1,Rishon LeZion,1989,115,5
004746-0032-140-00,05/12/2022,"1,450,000","1,450,000",דירה בבית קומות,0.5,Rishon LeZion,2011,150,5
005183-0007-018-00,11/12/2022,"2,840,000","2,840,000",דירה בבית קומות,1,Rishon LeZion,2005,105,5
002717-0015-015-00,05/12/2022,"2,200,000","2,200,000",דירה בבית קומות,1,Rishon LeZion,1989,130,5
007281-0089-020-00,12/12/2022,"2,550,000","2,550,000",דירה בבית קומות,1,Rishon LeZion,1970,114,5
005114-0038-017-00,18/12/2022,"1,387,500","1,387,500",דירה בבית קומות,0.5,Rishon LeZion,1998,108,5
003925-0491-021-00,28/11/2022,"2,550,000","2,550,000",דירה בבית קומות,1,Rishon LeZion,1981,113,5
007281-0094-021-00,06/12/2022,"2,300,000","2,300,000",דירה בבית קומות,1,Rishon LeZion,2022,111,5
003926-0594-019-00,04/01/2023,"2,745,895","2,745,895",דירה בבית קומות,1,Rishon LeZion,2023,128,5
003926-1073-019-00,29/11/2022,"2,100,000","2,100,000",דירה בבית קומות,1,Rishon LeZion,2013,128,5
003945-0527-020-00,02/01/2023,"2,850,000","2,850,000",דירה בבית קומות,1,Rishon LeZion,2022,125,5
006286-0149-024-00,26/12/2022,"2,500,000","2,500,000",דירה בבית קומות,1,Rishon LeZion,2021,117,5
007281-0094-023-00,28/11/2022,"2,015,000","2,015,000",דירה בבית קומות,1,Rishon LeZion,2022,74,5
007282-0005-026-00,11/12/2022,"2,950,000","2,950,000",דירה בבית קומות,1,Rishon LeZion,2022,117,5
007282-0005-027-00,11/12/2022,"2,950,000","2,950,000",דירה בבית קומות,1,Rishon LeZion,2022,119,5
005039-0023-076-00,27/12/2022,"2,900,000","2,900,000",דירה בבית קומות,1,Rishon LeZion,1995,126,5
003926-0594-016-00,17/01/2023,"2,705,938","2,705,938",דירה בבית קומות,1,Rishon LeZion,2023,126,5
003925-0294-018-00,28/12/2022,"2,780,000","2,780,000",דירה בבית קומות,1,Rishon LeZion,1970,137,5
006286-0315-028-00,20/01/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Rishon LeZion,2013,129,5
005031-0002-025-00,03/01/2023,"937,500","937,500",דירה בבית קומות,0.25,Rishon LeZion,1984,190,5
003926-0942-012-00,16/01/2023,"1,933,333","1,933,333",דירה בבית קומות,0.666,Rishon LeZion,1970,109,5
003939-0225-038-00,18/01/2023,"1,900,000","1,900,000",דירה בבית קומות,1,Rishon LeZion,1997,117,5
003926-0664-020-00,10/01/2023,"2,650,000","2,650,000",דירה בבית קומות,1,Rishon LeZion,2023,110,5
007281-0094-022-00,19/01/2023,"2,280,000","2,280,000",דירה בבית קומות,1,Rishon LeZion,2022,74,5
003925-0294-013-00,23/01/2023,"2,780,000","2,780,000",דירה בבית קומות,1,Rishon LeZion,1970,135,5
005389-0006-013-00,16/02/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Rishon LeZion,1993,98,5
005036-0079-063-00,23/02/2023,"2,460,000","2,460,000",דירה בבית קומות,1,Rishon LeZion,1991,119,5
003926-1204-005-00,11/01/2023,"1,060,000","1,060,000",דירה בבית קומות,0.333,Rishon LeZion,1986,149,5
003928-0153-021-00,19/01/2023,"2,850,000","2,850,000",דירה בבית קומות,1,Rishon LeZion,2022,123,5
007281-0094-025-00,23/01/2023,"2,330,000","2,330,000",דירה בבית קומות,1,Rishon LeZion,2022,74,5
004237-0007-003-00,26/01/2023,"1,409,328","1,409,328",דירה בבית קומות,1,Rishon LeZion,2022,128,5
003925-0294-016-00,16/02/2023,"2,800,000","2,800,000",דירה בבית קומות,1,Rishon LeZion,1970,135,5
007281-0159-017-00,23/02/2023,"1,950,000","1,950,000",דירה בבית קומות,1,Rishon LeZion,1960,103,5
007281-0148-003-00,26/02/2023,"1,175,000","1,175,000",דירה בבית קומות,0.5,Rishon LeZion,1970,103,5
003932-0343-014-00,02/02/2023,"1,977,500","1,977,500",דירה בבית קומות,1,Rishon LeZion,2022,98,5
003926-1235-005-00,06/02/2023,"2,570,000","2,570,000",דירה בבית קומות,1,Rishon LeZion,1970,125,5
007281-0152-016-00,12/03/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Rishon LeZion,1970,96,5
003925-0740-035-00,05/02/2023,"1,050,000","1,050,000",דירה בבית קומות,0.25,Rishon LeZion,2018,154,5
003930-0131-000-00,20/03/2023,"2,720,000","2,720,000",דירה בבית קומות,1,Rishon LeZion,2015,109,5
007281-0094-000-00,28/02/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Rishon LeZion,2022,119,5
004237-0012-014-00,16/04/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-037-00,16/04/2023,"2,204,465","2,204,465",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-007-00,16/04/2023,"2,172,715","2,172,715",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-048-00,17/04/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
004237-0012-052-00,20/04/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
004237-0012-041-00,20/04/2023,"2,204,465","2,204,465",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-018-00,23/04/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-022-00,24/04/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-010-00,24/04/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
005037-0008-009-00,29/03/2023,"1,283,333","1,283,333",דירה בבית קומות,0.333,Rishon LeZion,1986,190,5
003926-0942-001-00,25/04/2023,"2,220,000","2,220,000",דירה בבית קומות,1,Rishon LeZion,1970,95,5
004237-0012-022-00,27/04/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-044-00,01/05/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
004237-0012-031-00,01/05/2023,"2,172,715","2,172,715",דירה בבית קומות,1,Rishon LeZion,2023,133,5
007282-0005-024-00,28/02/2023,"2,370,000","2,370,000",דירה בבית קומות,1,Rishon LeZion,2022,124,5
004247-0432-017-00,26/03/2023,"1,900,000","1,900,000",דירה בבית קומות,1,Rishon LeZion,1960,121,5
005115-0025-018-00,27/03/2023,"3,000,000","3,000,000",דירה בבית קומות,1,Rishon LeZion,1998,118,5
003930-0577-009-00,03/04/2023,"2,389,000","2,389,000",דירה בבית קומות,1,Rishon LeZion,1990,117,5
003930-0152-005-00,16/04/2023,"2,550,000","2,550,000",דירה בבית קומות,1,Rishon LeZion,1983,126,5
004237-0012-045-00,02/05/2023,"2,204,465","2,204,465",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-014-00,02/05/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-013-00,02/05/2023,"2,172,715","2,172,715",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-051-00,03/05/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
004237-0012-010-00,03/05/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-006-00,03/05/2023,"2,056,962","2,056,962",דירה בבית קומות,1,Rishon LeZion,2023,123,5
004237-0012-019-00,04/05/2023,"2,172,715","2,172,715",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-047-00,04/05/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
003936-0006-006-00,16/04/2023,"2,895,000","2,895,000",דירה בבית קומות,1,Rishon LeZion,2000,122,5
005116-0012-001-00,16/04/2023,"2,075,000","2,075,000",דירה בבית קומות,0.5,Rishon LeZion,1998,117,5
004237-0012-001-00,08/05/2023,"2,172,715","2,172,715",דירה בבית קומות,1,Rishon LeZion,2023,133,5
004237-0012-048-00,08/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
004237-0012-012-00,08/05/2023,"2,086,633","2,086,633",דירה בבית קומות,1,Rishon LeZion,2023,126,5
004237-0012-052-00,08/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
004237-0012-049-00,09/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
004237-0012-016-00,09/05/2023,"2,085,958","2,085,958",דירה בבית קומות,1,Rishon LeZion,2023,126,5
004237-0012-053-00,09/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
003925-0300-003-00,10/05/2023,"1,380,000","1,380,000",דירה בבית קומות,0.5,Rishon LeZion,1970,125,5
004237-0012-046-00,10/05/2023,"2,254,924","2,254,924",דירה בבית קומות,1,Rishon LeZion,2023,139,5
004237-0012-041-00,10/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
004237-0012-053-00,10/05/2023,"2,199,346","2,199,346",דירה בבית קומות,1,Rishon LeZion,2023,132,5
004237-0012-043-00,11/05/2023,"2,220,864","2,220,864",דירה בבית קומות,1,Rishon LeZion,2023,134,5
006393-0342-008-00,29/03/2023,"2,490,000","2,490,000",דירה בבית קומות,1,Petah Tikva,2023,76,3
006361-0460-012-00,02/03/2023,"1,875,000","1,875,000",דירה בבית קומות,1,Petah Tikva,1981,66,3
006496-0371-006-00,24/02/2023,"2,650,000","2,650,000",דירה בבית קומות,1,Petah Tikva,2022,76,3
006394-0163-018-00,27/02/2023,"2,105,000","2,105,000",דירה בבית קומות,1,Petah Tikva,2023,72,3
006394-0163-002-00,27/02/2023,"2,050,000","2,050,000",דירה בבית קומות,1,Petah Tikva,2023,72,3
006362-0213-003-00,02/03/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Petah Tikva,2023,80,3
006712-0309-003-00,05/03/2023,"2,300,000","2,300,000",דירה בבית קומות,1,Petah Tikva,1985,90,3
006400-0452-049-00,08/03/2023,"583,333","583,333",דירה בבית קומות,0.333,Petah Tikva,1980,66,3
006388-0458-030-00,28/02/2023,"1,615,000","1,615,000",דירה בבית קומות,1,Petah Tikva,1970,60,3
006388-0528-021-00,05/03/2023,"656,603","656,603",דירה בבית קומות,1,Petah Tikva,1960,74,3
006385-0141-008-00,09/03/2023,"1,870,000","1,870,000",דירה בבית קומות,1,Petah Tikva,1970,50,3
007195-0019-049-00,13/03/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Petah Tikva,2007,74,3
006379-0027-015-00,14/03/2023,"1,630,000","1,630,000",דירה בבית קומות,1,Petah Tikva,1970,63,3
006382-0020-001-00,22/03/2023,"1,750,000","1,750,000",דירה בבית קומות,1,Petah Tikva,1995,60,3
006496-0370-016-00,27/02/2023,"2,650,000","2,650,000",דירה בבית קומות,1,Petah Tikva,2021,76,3
007285-0076-004-00,19/03/2023,"1,820,000","1,820,000",דירה בבית קומות,1,Petah Tikva,1970,67,3
006403-0129-010-00,21/03/2023,"1,820,000","1,820,000",דירה בבית קומות,1,Petah Tikva,1993,74,3
006389-0335-010-00,21/03/2023,"1,408,946","1,408,946",דירה בבית קומות,1,Petah Tikva,1970,72,3
006326-0328-014-00,22/03/2023,"666,603","666,603",דירה בבית קומות,1,Petah Tikva,1970,68,3
006361-0050-008-00,28/03/2023,"1,570,000","1,570,000",דירה בבית קומות,1,Petah Tikva,1970,76,3
006355-0826-003-00,08/03/2023,"653,000","653,000",דירה בבית קומות,0.5,Petah Tikva,2015,82,3
006373-0673-045-00,19/03/2023,"600,000","600,000",דירה בבית קומות,0.333,Petah Tikva,1950,49,3
006387-0046-007-00,30/03/2023,"1,790,000","1,790,000",דירה בבית קומות,1,Petah Tikva,1960,70,3
005482-0074-031-00,30/03/2023,"2,100,000","2,100,000",דירה בבית קומות,1,Petah Tikva,1996,85,3
004042-0162-020-00,30/03/2023,"2,200,000","2,200,000",דירה בבית קומות,1,Petah Tikva,2033,75,3
006373-0680-016-00,02/04/2023,"2,130,000","2,130,000",דירה בבית קומות,1,Petah Tikva,2023,73,3
006373-1031-012-00,04/04/2023,"2,000,000","2,000,000",דירה בבית קומות,1,Petah Tikva,1970,75,3
006394-0163-026-00,04/04/2023,"2,079,470","2,079,470",דירה בבית קומות,1,Petah Tikva,2023,72,3
006373-0680-057-00,04/04/2023,"2,210,000","2,210,000",דירה בבית קומות,1,Petah Tikva,2023,75,3
006394-0163-014-00,10/04/2023,"2,100,000","2,100,000",דירה בבית קומות,1,Petah Tikva,2023,72,3
006397-0214-009-00,16/04/2023,"1,866,000","1,866,000",דירה בבית קומות,1,Petah Tikva,1970,68,3
006388-0620-006-00,20/03/2023,"1,630,000","1,630,000",דירה בבית קומות,1,Petah Tikva,1982,61,3
007285-0072-021-00,22/03/2023,"1,600,000","1,600,000",דירה בבית קומות,1,Petah Tikva,1970,60,3
006372-0180-020-00,24/03/2023,"2,180,000","2,180,000",דירה בבית קומות,1,Petah Tikva,2022,83,3
006402-0009-008-00,26/03/2023,"2,190,000","2,190,000",דירה בבית קומות,1,Petah Tikva,2023,73,3
006320-0157-022-00,03/04/2023,"1,975,000","1,975,000",דירה בבית קומות,1,Petah Tikva,2022,78,3
006381-0190-004-00,04/04/2023,"2,270,000","2,270,000",דירה בבית קומות,1,Petah Tikva,2025,75,3
006373-0680-051-00,13/04/2023,"2,240,000","2,240,000",דירה בבית קומות,1,Petah Tikva,2023,73,3
006373-0680-041-00,13/04/2023,"2,170,000","2,170,000",דירה בבית קומות,1,Petah Tikva,2023,73,3
006382-0229-005-00,23/04/2023,"1,833,000","1,833,000",דירה בבית קומות,1,Petah Tikva,1970,79,3
006380-0123-003-00,15/03/2023,"850,000","850,000",דירה בבית קומות,0.5,Petah Tikva,1960,78,3
006373-0783-008-00,28/03/2023,"2,270,000","2,270,000",דירה בבית קומות,1,Petah Tikva,2026,97,3
006373-0680-006-00,09/04/2023,"2,110,000","2,110,000",דירה בבית קומות,1,Petah Tikva,2023,73,3
006324-0116-003-00,18/04/2023,"785,003","785,003",דירה בבית קומות,1,Petah Tikva,1970,81,3
006388-0424-131-00,19/04/2023,"1,450,000","1,450,000",דירה בבית קומות,1,Petah Tikva,1960,53,3
006373-0680-008-00,24/04/2023,"2,070,000","2,070,000",דירה בבית קומות,1,Petah Tikva,2023,75,3
006394-0163-010-00,27/04/2023,"2,060,000","2,060,000",דירה בבית קומות,1,Petah Tikva,2023,72,3
006394-0163-006-00,27/04/2023,"2,060,000","2,060,000",דירה בבית קומות,1,Petah Tikva,2023,72,3
006373-0975-066-00,27/04/2023,"1,900,000","1,900,000",דירה בבית קומות,1,Petah Tikva,1983,64,3
006400-0452-050-00,01/05/2023,"1,275,000","1,275,000",דירה בבית קומות,0.75,Petah Tikva,1984,61,3
006355-0333-001-00,01/05/2023,"2,090,000","2,090,000",דירה בבית קומות,1,Petah Tikva,1995,78,3
006374-0065-002-00,17/03/2023,"500,000","500,000",דירה בבית קומות,0.25,Petah Tikva,1999,74,3
006362-0217-015-00,27/03/2023,"612,500","612,500",דירה בבית קומות,0.25,Petah Tikva,2010,77,3
006362-0217-015-00,27/03/2023,"612,500","612,500",דירה בבית קומות,0.25,Petah Tikva,2010,77,3
006362-0217-015-00,27/03/2023,"612,500","612,500",דירה בבית קומות,0.25,Petah Tikva,2010,77,3
006362-0217-015-00,27/03/2023,"612,500","612,500",דירה בבית קומות,0.25,Petah Tikva,2010,80,3
006715-0203-021-00,28/03/2023,"2,150,000","2,150,000",דירה בבית קומות,1,Petah Tikva,1970,89,3
006380-0112-009-00,29/03/2023,"1,630,000","1,630,000",דירה בבית קומות,1,Petah Tikva,1960,67,3
006400-0376-022-00,03/04/2023,"1,650,000","1,650,000",דירה בבית קומות,1,Petah Tikva,1970,40,3
006379-0006-007-00,04/04/2023,"1,650,000","1,650,000",דירה בבית קומות,1,Petah Tikva,1960,95,3
006326-0331-008-00,17/04/2023,"1,580,000","1,580,000",דירה בבית קומות,1,Petah Tikva,1970,67,3
006388-0037-003-00,19/04/2023,"1,815,000","1,815,000",דירה בבית קומות,1,Petah Tikva,1970,70,3
006400-0385-034-00,24/04/2023,"1,350,000","1,350,000",דירה בבית קומות,1,Petah Tikva,1960,50,3
006714-0266-000-00,01/05/2023,"2,340,000","2,340,000",דירה בבית קומות,1,Petah Tikva,2019,92,3
006388-0650-001-00,07/05/2023,"2,165,000","2,165,000",דירה בבית קומות,1,Petah Tikva,2025,70,3
006381-0083-006-00,16/03/2023,"2,200,000","2,200,000",דירה בבית קומות,1,Petah Tikva,2008,71,3
006380-0204-026-00,24/04/2023,"1,720,000","1,720,000",דירה בבית קומות,1,Petah Tikva,1960,80,3
006373-0834-059-00,27/04/2023,"2,326,287","2,326,287",דירה בבית קומות,1,Petah Tikva,2023,81,3
006381-0173-001-00,01/05/2023,"2,360,000","2,360,000",דירה בבית קומות,1,Petah Tikva,2023,78,3
006362-0214-057-00,02/05/2023,"2,350,000","2,350,000",דירה בבית קומות,1,Petah Tikva,2003,90,3
006373-0680-077-00,16/05/2023,"2,250,000","2,250,000",דירה בבית קומות,1,Petah Tikva,2023,75,3
006384-0042-003-00,26/02/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Petah Tikva,2013,82,4
006389-0308-020-00,26/02/2023,"2,340,000","2,340,000",דירה בבית קומות,1,Petah Tikva,2007,88,4
006406-0133-006-00,27/02/2023,"2,050,000","2,050,000",דירה בבית קומות,1,Petah Tikva,1980,79,4
006402-0015-015-00,26/02/2023,"2,470,000","2,470,000",דירה בבית קומות,1,Petah Tikva,2023,93,4
006401-0034-017-00,01/03/2023,"1,880,000","1,880,000",דירה בבית קומות,1,Petah Tikva,1982,88,4
006403-0168-042-00,02/03/2023,"2,320,000","2,320,000",דירה בבית קומות,1,Petah Tikva,2005,103,4
006376-0049-001-00,02/03/2023,"2,350,000","2,350,000",דירה בבית קומות,1,Petah Tikva,1990,92,4
006381-0045-009-00,02/03/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Petah Tikva,2023,87,4
006355-0309-022-00,05/03/2023,"2,775,000","2,775,000",דירה בבית קומות,1,Petah Tikva,2023,99,4
007194-0017-031-00,02/03/2023,"2,530,000","2,530,000",דירה בבית קומות,1,Petah Tikva,1998,95,4
006714-0562-020-00,05/03/2023,"2,650,000","2,650,000",דירה בבית קומות,1,Petah Tikva,2014,98,4
006387-0068-016-00,07/03/2023,"2,540,000","2,540,000",דירה בבית קומות,1,Petah Tikva,2024,93,4
007195-0023-023-00,07/03/2023,"2,770,000","2,770,000",דירה בבית קומות,1,Petah Tikva,2000,92,4
006403-0168-081-00,13/03/2023,"2,350,000","2,350,000",דירה בבית קומות,1,Petah Tikva,2006,112,4
006388-0595-000-00,28/02/2023,"700,000","700,000",דירה בבית קומות,0.5,Petah Tikva,1996,70,4
004042-0141-002-00,02/03/2023,"625,000","625,000",דירה בבית קומות,0.25,Petah Tikva,1950,91,4
006714-0265-032-00,02/03/2023,"2,490,000","2,490,000",דירה בבית קומות,1,Petah Tikva,2026,98,4
006355-0799-046-00,05/03/2023,"2,790,000","2,790,000",דירה בבית קומות,1,Petah Tikva,2011,107,4
006381-0144-020-00,08/03/2023,"2,580,000","2,580,000",דירה בבית קומות,1,Petah Tikva,2024,98,4
004043-0074-000-00,13/03/2023,"2,740,000","2,740,000",דירה בבית קומות,1,Petah Tikva,2013,101,4
006373-0312-032-00,15/03/2023,"2,800,000","2,800,000",דירה בבית קומות,1,Petah Tikva,2025,122,4
006389-0308-012-00,16/03/2023,"2,370,000","2,370,000",דירה בבית קומות,1,Petah Tikva,2007,82,4
006715-0192-016-00,01/03/2023,"2,000,000","2,000,000",דירה בבית קומות,1,Petah Tikva,2022,100,4
006378-0063-011-00,12/03/2023,"1,575,000","1,575,000",דירה בבית קומות,0.75,Petah Tikva,1970,92,4
006404-0207-029-00,13/03/2023,"2,680,000","2,680,000",דירה בבית קומות,1,Petah Tikva,2023,100,4
006404-0207-008-00,22/03/2023,"2,420,000","2,420,000",דירה בבית קומות,1,Petah Tikva,2023,100,4
006402-0048-002-00,23/03/2023,"2,300,000","2,300,000",דירה בבית קומות,1,Petah Tikva,2023,80,4
005482-0071-008-00,26/03/2023,"2,050,000","2,050,000",דירה בבית קומות,1,Petah Tikva,1995,83,4
005482-0042-000-00,28/03/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Petah Tikva,1999,78,4
006379-0130-003-00,29/03/2023,"2,340,000","2,340,000",דירה בבית קומות,1,Petah Tikva,1994,107,4
006385-0028-006-00,26/03/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Petah Tikva,2025,107,4
006385-0025-013-00,30/03/2023,"2,465,000","2,465,000",דירה בבית קומות,1,Petah Tikva,2025,105,4
007195-0008-055-00,07/03/2023,"1,665,000","1,665,000",דירה בבית קומות,1,Petah Tikva,2008,91,4
006373-0312-028-00,09/03/2023,"2,825,000","2,825,000",דירה בבית קומות,1,Petah Tikva,2025,100,4
006376-0261-009-00,16/03/2023,"1,467,500","1,467,500",דירה בבית קומות,0.5,Petah Tikva,2016,114,4
006373-0680-010-00,16/03/2023,"2,390,000","2,390,000",דירה בבית קומות,1,Petah Tikva,2023,95,4
006394-0084-005-00,21/03/2023,"2,000,000","2,000,000",דירה בבית קומות,1,Petah Tikva,1970,95,4
006715-0192-018-00,29/03/2023,"1,900,000","1,900,000",דירה בבית קומות,1,Petah Tikva,2022,100,4
006404-0258-002-00,30/03/2023,"2,575,000","2,575,000",דירה בבית קומות,1,Petah Tikva,2023,95,4
006373-0903-042-00,30/03/2023,"2,770,000","2,770,000",דירה בבית קומות,1,Petah Tikva,2025,112,4
006387-0169-006-00,30/03/2023,"716,666","716,666",דירה בבית קומות,0.333,Petah Tikva,1960,81,4
007195-0021-136-00,03/04/2023,"774,647","774,647",דירה בבית קומות,0.281,Petah Tikva,2000,91,4
006373-0680-015-00,03/04/2023,"2,400,000","2,400,000",דירה בבית קומות,1,Petah Tikva,2023,93,4
006402-0009-005-00,04/04/2023,"2,800,000","2,800,000",דירה בבית קומות,1,Petah Tikva,2025,164,4
006400-0453-044-00,04/04/2023,"1,970,000","1,970,000",דירה בבית קומות,1,Petah Tikva,1989,75,4
006373-0680-050-00,04/04/2023,"2,470,000","2,470,000",דירה בבית קומות,1,Petah Tikva,2023,93,4
006714-0462-012-00,23/03/2023,"2,070,000","2,070,000",דירה בבית קומות,1,Petah Tikva,1989,90,4
006387-0068-010-00,03/04/2023,"2,485,000","2,485,000",דירה בבית קומות,1,Petah Tikva,2024,94,4
006404-0207-020-00,03/04/2023,"2,470,000","2,470,000",דירה בבית קומות,1,Petah Tikva,2023,100,4
006396-0099-014-00,04/04/2023,"2,280,000","2,280,000",דירה בבית קומות,1,Petah Tikva,2023,95,4
006404-0207-005-00,20/04/2023,"2,500,000","2,500,000",דירה בבית קומות,1,Petah Tikva,2023,100,4
006385-0028-013-00,01/03/2023,"570,000","570,000",דירה בבית קומות,0.25,Petah Tikva,2025,100,4
006355-0799-000-00,05/03/2023,"2,600,000","2,600,000",דירה בבית קומות,1,Petah Tikva,2011,107,4
006376-0122-004-00,14/03/2023,"1,960,000","1,960,000",דירה בבית קומות,1,Petah Tikva,1970,91,4
006375-0488-015-00,16/04/2023,"2,300,000","2,300,000",דירה בבית קומות,1,Petah Tikva,2022,90,4
006373-0680-025-00,24/04/2023,"2,420,000","2,420,000",דירה בבית קומות,1,Petah Tikva,2023,93,4
006397-0264-002-00,25/04/2023,"1,975,000","1,975,000",דירה בבית קומות,1,Petah Tikva,1988,79,4
006389-0282-018-00,27/04/2023,"2,050,000","2,050,000",דירה בבית קומות,1,Petah Tikva,2024,86,4
006388-0618-051-00,03/05/2023,"2,130,000","2,130,000",דירה בבית קומות,1,Petah Tikva,1989,102,4
006386-0074-022-00,28/02/2023,"1,335,000","1,335,000",דירה בבית קומות,0.5,Petah Tikva,2022,95,4
006394-0095-017-00,20/03/2023,"2,450,000","2,450,000",דירה בבית קומות,1,Petah Tikva,2023,103,4
006383-0170-015-00,29/03/2023,"2,580,000","2,580,000",דירה בבית קומות,1,Petah Tikva,2025,117,4
006375-0372-018-00,30/03/2023,"1,799,500","1,799,500",דירה בבית קומות,1,Petah Tikva,1970,97,4
